Version and EC Level	Total Number of Data Codewords for this Version and EC Level	EC Codewords Per Block	Number of Blocks in Group 1	Number of Data Codewords in Each of Group 1's Blocks	Number of Blocks in Group 2	Number of Data Codewords in Each of Group 2's Blocks	Total Data Codewords
25-Q	718	30	7	24	22	25	(24*7) + (25*22) = 718
25-H	538	30	22	15	13	16	(15*22) + (16*13) = 538
26-L	1370	28	10	114	2	115	(114*10) + (115*2) = 1370
26-M	1062	28	19	46	4	47	(46*19) + (47*4) = 1062
26-Q	754	28	28	22	6	23	(22*28) + (23*6) = 754
26-H	596	30	33	16	4	17	(16*33) + (17*4) = 596
27-L	1468	30	8	122	4	123	(122*8) + (123*4) = 1468
27-M	1128	28	22	45	3	46	(45*22) + (46*3) = 1128
27-Q	808	30	8	23	26	24	(23*8) + (24*26) = 808
27-H	628	30	12	15	28	16	(15*12) + (16*28) = 628
28-L	1531	30	3	117	10	118	(117*3) + (118*10) = 1531
28-M	1193	28	3	45	23	46	(45*3) + (46*23) = 1193
28-Q	871	30	4	24	31	25	(24*4) + (25*31) = 871
28-H	661	30	11	15	31	16	(15*11) + (16*31) = 661
29-L	1631	30	7	116	7	117	(116*7) + (117*7) = 1631
29-M	1267	28	21	45	7	46	(45*21) + (46*7) = 1267
29-Q	911	30	1	23	37	24	(23*1) + (24*37) = 911
29-H	701	30	19	15	26	16	(15*19) + (16*26) = 701
30-L	1735	30	5	115	10	116	(115*5) + (116*10) = 1735
30-M	1373	28	19	47	10	48	(47*19) + (48*10) = 1373
30-Q	985	30	15	24	25	25	(24*15) + (25*25) = 985
30-H	745	30	23	15	25	16	(15*23) + (16*25) = 745
31-L	1843	30	13	115	3	116	(115*13) + (116*3) = 1843
31-M	1455	28	2	46	29	47	(46*2) + (47*29) = 1455
31-Q	1033	30	42	24	1	25	(24*42) + (25*1) = 1033
31-H	793	30	23	15	28	16	(15*23) + (16*28) = 793
32-L	1955	30	17	115			(115*17) = 1955
32-M	1541	28	10	46	23	47	(46*10) + (47*23) = 1541
32-Q	1115	30	10	24	35	25	(24*10) + (25*35) = 1115
32-H	845	30	19	15	35	16	(15*19) + (16*35) = 845
33-L	2071	30	17	115	1	116	(115*17) + (116*1) = 2071
33-M	1631	28	14	46	21	47	(46*14) + (47*21) = 1631
33-Q	1171	30	29	24	19	25	(24*29) + (25*19) = 1171
33-H	901	30	11	15	46	16	(15*11) + (16*46) = 901
34-L	2191	30	13	115	6	116	(115*13) + (116*6) = 2191
34-M	1725	28	14	46	23	47	(46*14) + (47*23) = 1725
34-Q	1231	30	44	24	7	25	(24*44) + (25*7) = 1231
34-H	961	30	59	16	1	17	(16*59) + (17*1) = 961
35-L	2306	30	12	121	7	122	(121*12) + (122*7) = 2306
35-M	1812	28	12	47	26	48	(47*12) + (48*26) = 1812
35-Q	1286	30	39	24	14	25	(24*39) + (25*14) = 1286
35-H	986	30	22	15	41	16	(15*22) + (16*41) = 986
36-L	2434	30	6	121	14	122	(121*6) + (122*14) = 2434
36-M	1914	28	6	47	34	48	(47*6) + (48*34) = 1914
36-Q	1354	30	46	24	10	25	(24*46) + (25*10) = 1354
36-H	1054	30	2	15	64	16	(15*2) + (16*64) = 1054
37-L	2566	30	17	122	4	123	(122*17) + (123*4) = 2566
37-M	1992	28	29	46	14	47	(46*29) + (47*14) = 1992
37-Q	1426	30	49	24	10	25	(24*49) + (25*10) = 1426
37-H	1096	30	24	15	46	16	(15*24) + (16*46) = 1096
38-L	2702	30	4	122	18	123	(122*4) + (123*18) = 2702
38-M	2102	28	13	46	32	47	(46*13) + (47*32) = 2102
38-Q	1502	30	48	24	14	25	(24*48) + (25*14) = 1502
38-H	1142	30	42	15	32	16	(15*42) + (16*32) = 1142
39-L	2812	30	20	117	4	118	(117*20) + (118*4) = 2812
39-M	2216	28	40	47	7	48	(47*40) + (48*7) = 2216
39-Q	1582	30	43	24	22	25	(24*43) + (25*22) = 1582
39-H	1222	30	10	15	67	16	(15*10) + (16*67) = 1222
40-L	2956	30	19	118	6	119	(118*19) + (119*6) = 2956
40-M	2334	28	18	47	31	48	(47*18) + (48*31) = 2334
40-Q	1666	30	34	24	34	25	(24*34) + (25*34) = 1666
40-H	1276	30	20	15	61	16	(15*20) + (16*61) = 1276
